Customer ID;Tenure Months;Location;Device Class;Games Product;Music Product;Education Product;Call Center;Video Product;Use MyApp;Payment Method;Monthly Purchase (Thou. IDR);Churn Label;Longitude;Latitude;CLTV (Predicted Thou. IDR)
27;10;Jakarta;High End;Yes;No;No;No;Yes;Yes;Pulsa;130,325;Yes;106,81667;-6,20000;7797,4
28;3;Jakarta;High End;No;No;No;No;No;No;Pulsa;96,72;Yes;106,81667;-6,20000;5739,5
29;27;Jakarta;High End;No;No;Yes;No;No;No;Pulsa;101,465;Yes;106,81667;-6,20000;6029,4
30;25;Jakarta;Mid End;Yes;Yes;Yes;No;Yes;Yes;Credit;76,18;Yes;106,81667;-6,20000;5447
31;1;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;46,085;Yes;106,81667;-6,20000;2991,3
32;2;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;57,655;Yes;106,81667;-6,20000;3341
33;1;Jakarta;High End;No;No;No;No;No;No;Digital Wallet;91,585;Yes;106,81667;-6,20000;5153,2
34;8;Jakarta;Mid End;Yes;No;No;Yes;No;Yes;Pulsa;92,495;Yes;106,81667;-6,20000;3460,6
35;1;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;59,345;Yes;106,81667;-6,20000;3380
36;7;Jakarta;High End;No;No;No;No;Yes;Yes;Digital Wallet;123,5;Yes;106,81667;-6,20000;3621,8
37;20;Bandung;High End;Yes;No;No;No;No;No;Pulsa;107,12;Yes;107,60981;-6,91474;7434,7
38;4;Bandung;High End;No;No;No;No;No;No;Debit;92,17;Yes;107,60981;-6,91474;5573,1
39;58;Bandung;Mid End;No;Yes;Yes;No;No;Yes;Pulsa;58,89;Yes;107,60981;-6,91474;7077,2
40;2;Bandung;High End;No;No;Yes;Yes;Yes;Yes;Pulsa;135,72;Yes;107,60981;-6,91474;6097
41;53;Bandung;High End;No;No;Yes;No;Yes;Yes;Debit;123,305;Yes;107,60981;-6,91474;5626,4
42;15;Bandung;High End;No;No;No;No;No;No;Digital Wallet;96,785;Yes;107,60981;-6,91474;7432,1
43;7;Bandung;High End;Yes;No;No;No;No;No;Debit;99,385;Yes;107,60981;-6,91474;5744,7
44;1;Bandung;Mid End;No;Yes;No;No;No;No;Debit;38,935;Yes;107,60981;-6,91474;5894,2
45;8;Bandung;High End;No;No;No;No;No;Yes;Debit;109,85;Yes;107,60981;-6,91474;2797,6
46;13;Bandung;High End;No;Yes;Yes;No;No;No;Pulsa;103,025;Yes;107,60981;-6,91474;6684,6
47;1;Bandung;Mid End;No;No;No;No;No;No;Pulsa;32,24;Yes;107,60981;-6,91474;6306,3
48;6;Bandung;High End;No;Yes;Yes;No;No;Yes;Pulsa;118,3;Yes;107,60981;-6,91474;2967,9
49;1;Bandung;High End;No;No;No;No;No;Yes;Pulsa;103,87;Yes;107,60981;-6,91474;4412,2
50;19;Bandung;High End;Yes;No;Yes;Yes;Yes;Yes;Pulsa;138,58;Yes;107,60981;-6,91474;4893,2
51;2;Bandung;Mid End;No;No;No;No;No;No;Credit;59,8;Yes;107,60981;-6,91474;3467,1
52;4;Bandung;High End;No;No;No;No;No;No;Pulsa;91,195;Yes;107,60981;-6,91474;2895,1
53;4;Bandung;Mid End;No;No;No;Yes;No;No;Digital Wallet;65,065;Yes;107,60981;-6,91474;4412,2
54;1;Bandung;Mid End;No;No;No;No;Yes;No;Digital Wallet;71,76;Yes;107,60981;-6,91474;4729,4
55;1;Bandung;High End;Yes;No;No;No;No;Yes;Digital Wallet;109,98;Yes;107,60981;-6,91474;3229,2
56;2;Bandung;Mid End;No;Yes;No;No;No;No;Digital Wallet;70,72;Yes;107,60981;-6,91474;3322,8
57;11;Bandung;High End;No;Yes;No;No;Yes;Yes;Pulsa;123,5;Yes;107,60981;-6,91474;7774
58;15;Bandung;High End;No;Yes;No;No;No;No;Pulsa;96,72;Yes;107,60981;-6,91474;6000,8
59;1;Bandung;Mid End;Yes;No;No;No;No;No;Digital Wallet;63,115;Yes;107,60981;-6,91474;7393,1
60;2;Bandung;High End;No;No;No;No;No;No;Pulsa;91,52;Yes;107,60981;-6,91474;7393,1
61;1;Bandung;Mid End;No;Yes;No;No;Yes;No;Pulsa;52,26;Yes;107,60981;-6,91474;7576,4
62;2;Bandung;Mid End;No;No;No;No;No;No;Credit;57,98;Yes;107,60981;-6,91474;6349,2
63;3;Bandung;Mid End;No;No;Yes;No;No;Yes;Pulsa;53,495;Yes;107,60981;-6,91474;3008,2
64;13;Bandung;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;138,97;Yes;107,60981;-6,91474;3242,2
65;59;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,155;Yes;107,60981;-6,91474;6609,2
66;16;Bandung;High End;No;No;No;Yes;Yes;Yes;Pulsa;122,785;Yes;107,60981;-6,91474;4953
67;1;Bandung;Mid End;No;No;No;No;No;No;Debit;32,24;Yes;107,60981;-6,91474;6613,1
68;1;Bandung;High End;No;No;No;No;No;No;Digital Wallet;91,78;Yes;107,60981;-6,91474;4339,4
69;5;Bandung;High End;No;Yes;No;Yes;No;No;Pulsa;111,02;Yes;107,60981;-6,91474;4778,8
70;52;Bandung;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;136,565;Yes;107,60981;-6,91474;6290,7
71;18;Bandung;High End;No;No;Yes;No;Yes;Yes;Digital Wallet;123,695;Yes;107,60981;-6,91474;6035,9
72;1;Bandung;High End;No;No;No;No;No;No;Pulsa;91;Yes;107,60981;-6,91474;5322,2
73;8;Bandung;High End;No;Yes;No;No;No;No;Pulsa;96,85;Yes;107,60981;-6,91474;5648,5
74;10;Bandung;Mid End;No;No;No;No;No;No;Credit;58,305;Yes;107,60981;-6,91474;5279,3
75;24;Bandung;High End;No;No;No;No;No;No;Pulsa;98,93;Yes;107,60981;-6,91474;2623,4
76;1;Bandung;High End;Yes;No;No;No;No;No;Digital Wallet;95,68;Yes;107,60981;-6,91474;3334,5
77;4;Bandung;High End;No;No;No;No;Yes;Yes;Pulsa;124,085;Yes;107,60981;-6,91474;4780,1
78;32;Bandung;High End;No;No;No;No;No;No;Pulsa;97,37;Yes;107,60981;-6,91474;5336,5
79;5;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;104,78;Yes;106,81667;-6,20000;7429,5
80;38;Jakarta;Mid End;Yes;Yes;No;Yes;Yes;Yes;Credit;104,39;Yes;106,81667;-6,20000;2692,3
81;24;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;121,095;Yes;106,81667;-6,20000;2875,6
82;54;Jakarta;Mid End;Yes;Yes;No;Yes;Yes;Yes;Debit;107,185;Yes;106,81667;-6,20000;5393,7
83;2;Jakarta;High End;No;No;No;No;No;No;Pulsa;91,455;Yes;106,81667;-6,20000;3472,3
84;7;Jakarta;High End;No;No;No;No;No;No;Pulsa;96,005;Yes;106,81667;-6,20000;3214,9
85;2;Jakarta;High End;No;No;Yes;No;No;No;Digital Wallet;104,78;Yes;106,81667;-6,20000;3487,9
86;68;Jakarta;Mid End;No;Yes;Yes;Yes;No;Yes;Debit;98,54;Yes;106,81667;-6,20000;6373,9
87;43;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;135,98;Yes;106,81667;-6,20000;6825
88;63;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;134,42;Yes;106,81667;-6,20000;5657,6
89;2;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;117,52;Yes;106,81667;-6,20000;5404,1
90;4;Jakarta;High End;No;Yes;Yes;No;No;No;Debit;110,24;Yes;106,81667;-6,20000;6420,7
91;21;Jakarta;Mid End;Yes;No;No;No;Yes;No;Pulsa;54,47;Yes;106,81667;-6,20000;6211,4
92;10;Jakarta;High End;No;No;No;No;No;Yes;Debit;104,325;Yes;106,81667;-6,20000;4677,4
93;27;Jakarta;Mid End;Yes;No;No;No;No;No;Credit;39,975;Yes;106,81667;-6,20000;3805,1
94;5;Jakarta;High End;No;No;Yes;No;Yes;Yes;Debit;125,45;Yes;106,81667;-6,20000;6997,9
95;2;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;111,345;Yes;106,81667;-6,20000;5041,4
96;25;Jakarta;High End;No;No;Yes;Yes;Yes;Yes;Debit;136,435;Yes;106,81667;-6,20000;4734,6
97;1;Jakarta;Mid End;No;Yes;No;No;No;No;Digital Wallet;65,845;Yes;106,81667;-6,20000;3160,3
98;1;Jakarta;High End;No;Yes;No;No;No;Yes;Credit;118,105;Yes;106,81667;-6,20000;4451,2
99;11;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,935;Yes;106,81667;-6,20000;7654,4
100;55;Jakarta;High End;No;Yes;Yes;No;No;No;Pulsa;111,085;Yes;106,81667;-6,20000;7152,6
101;34;Jakarta;High End;No;Yes;No;No;No;No;Credit;96,135;Yes;106,81667;-6,20000;7533,5
102;69;Jakarta;High End;No;No;Yes;No;Yes;Yes;Credit;129,285;Yes;106,81667;-6,20000;5226
103;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,87;Yes;106,81667;-6,20000;4356,3
104;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,48;Yes;106,81667;-6,20000;4482,4
105;3;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;105,755;Yes;106,81667;-6,20000;3663,4
106;22;Jakarta;High End;No;Yes;No;No;No;Yes;Pulsa;108,29;Yes;106,81667;-6,20000;4945,2
107;1;Jakarta;High End;No;No;Yes;No;No;No;Debit;97,89;Yes;106,81667;-6,20000;6372,6
108;61;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,22;Yes;106,81667;-6,20000;5487,3
109;12;Jakarta;Mid End;No;No;No;No;No;No;Debit;59,02;Yes;106,81667;-6,20000;3753,1
110;60;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;137,67;Yes;106,81667;-6,20000;5336,5
111;1;Jakarta;High End;No;No;No;No;No;No;Digital Wallet;90,415;Yes;106,81667;-6,20000;3629,6
112;28;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;105,365;Yes;106,81667;-6,20000;6761,3
113;4;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;131,495;Yes;106,81667;-6,20000;5742,1
114;7;Jakarta;High End;No;Yes;No;No;Yes;Yes;Pulsa;129,74;Yes;106,81667;-6,20000;2640,3
115;13;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;72,735;Yes;106,81667;-6,20000;5847,4
116;1;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;71,5;Yes;106,81667;-6,20000;6340,1
117;1;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;97,11;Yes;106,81667;-6,20000;7774
118;24;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;104,325;Yes;106,81667;-6,20000;5743,4
119;5;Jakarta;High End;No;No;No;Yes;Yes;Yes;Pulsa;124,93;Yes;106,81667;-6,20000;5449,6
120;15;Jakarta;High End;No;No;No;No;No;No;Debit;89,7;Yes;106,81667;-6,20000;7372,3
121;48;Jakarta;Mid End;Yes;No;Yes;No;No;Yes;Debit;58,89;Yes;106,81667;-6,20000;6403,8
122;8;Jakarta;High End;No;Yes;No;No;Yes;No;Pulsa;108,615;Yes;106,81667;-6,20000;3742,7
123;1;Jakarta;High End;No;No;No;No;No;No;Pulsa;96,655;Yes;106,81667;-6,20000;3658,2
124;2;Jakarta;High End;Yes;No;No;No;No;No;Pulsa;96,72;Yes;106,81667;-6,20000;5541,9
125;22;Jakarta;Mid End;No;Yes;Yes;No;No;Yes;Debit;56,875;Yes;106,81667;-6,20000;4028,7
126;5;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;36,985;Yes;106,81667;-6,20000;5328,7
127;12;Jakarta;High End;Yes;Yes;Yes;No;No;Yes;Debit;129,61;Yes;106,81667;-6,20000;3299,4
128;20;Jakarta;High End;No;Yes;Yes;No;No;Yes;Pulsa;122,33;Yes;106,81667;-6,20000;3465,8
129;2;Jakarta;High End;No;No;No;Yes;Yes;Yes;Pulsa;122,46;Yes;106,81667;-6,20000;4829,5
130;6;Jakarta;High End;No;No;No;Yes;No;No;Pulsa;104,65;Yes;106,81667;-6,20000;6541,6
131;5;Jakarta;High End;No;No;No;No;No;No;Pulsa;96,655;Yes;106,81667;-6,20000;6854,9
132;40;Jakarta;High End;No;No;Yes;Yes;Yes;Yes;Debit;136,24;Yes;106,81667;-6,20000;4539,6
133;27;Jakarta;High End;Yes;No;No;No;No;No;Debit;97,76;Yes;106,81667;-6,20000;5872,1
134;23;Jakarta;High End;No;No;No;No;No;No;Debit;98,28;Yes;106,81667;-6,20000;2749,5
135;34;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;130,065;Yes;106,81667;-6,20000;3338,4
136;1;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;110,5;Yes;106,81667;-6,20000;7382,7
137;10;Jakarta;High End;No;No;No;No;Yes;No;Debit;111,865;Yes;106,81667;-6,20000;3855,8
138;13;Jakarta;Mid End;Yes;No;No;Yes;Yes;No;Credit;59,215;Yes;106,81667;-6,20000;6312,8
139;39;Jakarta;High End;No;Yes;No;No;Yes;No;Digital Wallet;112,19;Yes;106,81667;-6,20000;4373,2
140;32;Jakarta;High End;No;Yes;No;No;No;No;Debit;104,455;Yes;106,81667;-6,20000;7766,2
141;35;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;130,325;Yes;106,81667;-6,20000;3567,2
142;56;Jakarta;High End;No;Yes;No;No;Yes;Yes;Credit;130,39;Yes;106,81667;-6,20000;6721
143;12;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;24,7;Yes;106,81667;-6,20000;4595,5
144;1;Jakarta;High End;Yes;No;No;No;No;No;Digital Wallet;97,89;Yes;106,81667;-6,20000;4217,2
145;4;Jakarta;High End;No;No;Yes;No;Yes;No;Pulsa;115,96;Yes;106,81667;-6,20000;7550,4
146;1;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;111,41;Yes;106,81667;-6,20000;6344
147;12;Jakarta;Mid End;Yes;No;Yes;Yes;No;No;Digital Wallet;80,145;Yes;106,81667;-6,20000;7371
148;65;Jakarta;High End;Yes;No;Yes;No;Yes;Yes;Debit;136,825;Yes;106,81667;-6,20000;5454,8
149;9;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;38,935;Yes;106,81667;-6,20000;3344,9
150;9;Jakarta;Mid End;Yes;Yes;Yes;Yes;No;No;Digital Wallet;84,5;Yes;106,81667;-6,20000;5177,9
151;7;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26;Yes;106,81667;-6,20000;5822,7
152;49;Jakarta;High End;No;Yes;No;No;No;Yes;Credit;117,065;Yes;106,81667;-6,20000;6576,7
153;43;Jakarta;High End;No;Yes;Yes;Yes;Yes;Yes;Debit;143,975;Yes;106,81667;-6,20000;3546,4
154;65;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;137,15;Yes;106,81667;-6,20000;7436
155;56;Jakarta;High End;Yes;No;Yes;No;Yes;Yes;Debit;135,915;Yes;106,81667;-6,20000;8148,4
156;10;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;110,825;Yes;106,81667;-6,20000;4644,9
157;43;Jakarta;Mid End;No;No;No;No;Yes;No;Pulsa;72,995;Yes;106,81667;-6,20000;2797,6
158;1;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;116,415;Yes;106,81667;-6,20000;6494,8
159;20;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;122,915;Yes;106,81667;-6,20000;7285,2
160;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;59,41;Yes;106,81667;-6,20000;2983,5
161;2;Jakarta;High End;No;Yes;No;No;No;Yes;Pulsa;116,35;Yes;106,81667;-6,20000;2684,5
162;3;Jakarta;High End;No;No;No;No;No;No;Debit;90,415;Yes;106,81667;-6,20000;3738,8
163;1;Jakarta;High End;No;No;Yes;No;No;No;Digital Wallet;96,98;Yes;106,81667;-6,20000;5018
164;8;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,545;Yes;106,81667;-6,20000;7061,6
165;2;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,805;Yes;106,81667;-6,20000;3070,6
166;4;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;31,525;Yes;106,81667;-6,20000;2649,4
167;2;Jakarta;High End;No;No;No;No;No;No;Pulsa;90,545;Yes;106,81667;-6,20000;3019,9
168;4;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;59,345;Yes;106,81667;-6,20000;3723,2
169;1;Jakarta;High End;No;No;No;No;No;No;Digital Wallet;97,565;Yes;106,81667;-6,20000;6289,4
170;52;Jakarta;Mid End;No;Yes;No;No;Yes;Yes;Pulsa;63,895;Yes;106,81667;-6,20000;7276,1
171;2;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;45,11;Yes;106,81667;-6,20000;4089,8
172;1;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;104;Yes;106,81667;-6,20000;2659,8
173;2;Jakarta;Mid End;Yes;No;No;No;No;No;Pulsa;64,025;Yes;106,81667;-6,20000;4517,5
174;3;Jakarta;High End;No;No;No;No;No;No;Credit;97,63;Yes;106,81667;-6,20000;6454,5
175;3;Jakarta;Mid End;No;No;Yes;No;No;No;Pulsa;65,195;Yes;106,81667;-6,20000;4254,9
176;25;Jakarta;High End;Yes;Yes;No;No;No;No;Debit;103,805;Yes;106,81667;-6,20000;5895,5
177;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,415;Yes;106,81667;-6,20000;4622,8
178;4;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;111,735;Yes;106,81667;-6,20000;7332
179;3;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;58,955;Yes;106,81667;-6,20000;3185
180;33;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;122,85;Yes;106,81667;-6,20000;5632,9
181;30;Jakarta;High End;Yes;Yes;Yes;No;No;No;Credit;119,21;Yes;106,81667;-6,20000;3226,6
182;45;Jakarta;High End;No;No;Yes;Yes;No;No;Pulsa;113,425;Yes;106,81667;-6,20000;6849,7
183;10;Jakarta;High End;Yes;No;No;No;Yes;Yes;Pulsa;128,115;Yes;106,81667;-6,20000;4755,4
184;20;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;128,115;Yes;106,81667;-6,20000;7077,2
185;15;Jakarta;High End;No;Yes;No;No;No;Yes;Debit;111,67;Yes;106,81667;-6,20000;4652,7
186;22;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;116,025;Yes;106,81667;-6,20000;4109,3
187;3;Jakarta;High End;No;No;No;No;No;No;Pulsa;91,39;Yes;106,81667;-6,20000;3949,4
188;15;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;121,355;Yes;106,81667;-6,20000;6843,2
189;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,87;Yes;106,81667;-6,20000;5522,4
190;5;Jakarta;High End;Yes;No;Yes;No;No;Yes;Digital Wallet;115,57;Yes;106,81667;-6,20000;5662,8
191;33;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;124,54;Yes;106,81667;-6,20000;5409,3
192;2;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;106,6;Yes;106,81667;-6,20000;3966,3
193;2;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;58,955;Yes;106,81667;-6,20000;4521,4
194;1;Jakarta;Mid End;No;No;No;Yes;No;No;Pulsa;67,86;Yes;106,81667;-6,20000;5379,4
195;46;Jakarta;High End;Yes;Yes;Yes;No;Yes;Yes;Pulsa;143;Yes;106,81667;-6,20000;3123,9
196;62;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;125,775;Yes;106,81667;-6,20000;6520,8
197;10;Jakarta;High End;No;No;No;Yes;Yes;Yes;Pulsa;128,05;Yes;106,81667;-6,20000;6739,2
198;6;Jakarta;High End;No;Yes;No;No;Yes;No;Pulsa;110,955;Yes;106,81667;-6,20000;6102,2
199;40;Jakarta;High End;No;Yes;No;No;Yes;Yes;Pulsa;131,69;Yes;106,81667;-6,20000;3348,8
200;1;Jakarta;High End;No;No;No;No;No;No;Pulsa;90,415;Yes;106,81667;-6,20000;3954,6
201;58;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Debit;134,225;Yes;106,81667;-6,20000;7936,5
202;70;Jakarta;High End;Yes;No;No;Yes;Yes;Yes;Credit;135,2;Yes;106,81667;-6,20000;5907,2
203;2;Jakarta;High End;No;No;Yes;No;No;Yes;Digital Wallet;112,06;Yes;106,81667;-6,20000;3859,7
204;21;Jakarta;High End;No;Yes;Yes;Yes;Yes;Yes;Pulsa;144,56;Yes;106,81667;-6,20000;5359,9
205;16;Jakarta;High End;No;Yes;Yes;No;Yes;No;Credit;116,285;Yes;106,81667;-6,20000;4804,8
206;7;Jakarta;High End;No;No;No;No;Yes;Yes;Debit;124,28;Yes;106,81667;-6,20000;4244,5
207;60;Jakarta;High End;No;Yes;Yes;No;Yes;No;Pulsa;118,235;Yes;106,81667;-6,20000;5344,3
208;50;Jakarta;High End;Yes;Yes;No;Yes;Yes;Yes;Pulsa;141,115;Yes;106,81667;-6,20000;5556,2
209;4;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;102,505;Yes;106,81667;-6,20000;6891,3
210;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;57,72;Yes;106,81667;-6,20000;4578,6
211;55;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;130;Yes;106,81667;-6,20000;7382,7
212;12;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,74;Yes;106,81667;-6,20000;3448,9
213;1;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;116,87;Yes;106,81667;-6,20000;7736,3
214;62;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;130,195;Yes;106,81667;-6,20000;7280
215;1;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;66,04;Yes;106,81667;-6,20000;4833,4
216;20;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;95,745;Yes;106,81667;-6,20000;7603,7
217;3;Jakarta;High End;No;Yes;No;No;Yes;Yes;Pulsa;123,63;Yes;106,81667;-6,20000;7619,3
218;22;Jakarta;High End;No;No;No;No;Yes;Yes;Credit;123,045;Yes;106,81667;-6,20000;4764,5
219;4;Jakarta;High End;No;No;Yes;Yes;No;No;Digital Wallet;104,78;Yes;106,81667;-6,20000;4004
220;59;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;111,215;Yes;106,81667;-6,20000;8195,2
221;60;Bandung;Mid End;No;Yes;No;No;Yes;Yes;Pulsa;66,04;Yes;107,60981;-6,91474;6423,3
222;15;Bandung;High End;Yes;No;Yes;Yes;Yes;Yes;Pulsa;136,63;Yes;107,60981;-6,91474;2758,6
223;10;Bandung;High End;Yes;Yes;Yes;Yes;Yes;Yes;Pulsa;143,13;Yes;107,60981;-6,91474;7543,9
224;6;Bandung;High End;No;No;Yes;No;No;Yes;Pulsa;109,07;Yes;107,60981;-6,91474;5150,6
225;63;Bandung;High End;Yes;Yes;Yes;No;Yes;No;Pulsa;130,715;Yes;107,60981;-6,91474;7036,9
226;50;Bandung;High End;No;Yes;Yes;No;Yes;Yes;Debit;135,005;Yes;107,60981;-6,91474;7555,6
227;1;Bandung;Mid End;No;No;No;No;No;No;Pulsa;31,98;Yes;107,60981;-6,91474;7498,4
228;12;Bandung;High End;Yes;No;No;Yes;Yes;Yes;Debit;128,57;Yes;107,60981;-6,91474;7226,7
229;9;Bandung;High End;No;No;Yes;No;Yes;Yes;Credit;127,79;Yes;107,60981;-6,91474;3840,2
230;17;Bandung;High End;Yes;No;No;No;Yes;Yes;Pulsa;122,005;Yes;107,60981;-6,91474;6422
